State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,Latitude,Longitude,Number_of_death
Gujarat,Surat,2020,October,Sunday,14:17,Fatal,1,Pedestrian,8,4,Stormy,State Highway,Damaged,Daylight,None,55,28,Female,Expired,Yes,Bridge,24.79634091,93.02111525,6
Goa,Unknown,2020,April,Tuesday,12:19,Minor,5,Car,7,4,Foggy,National Highway,Under Construction,Dawn,Signals,73,38,Female,Expired,No,Curve,31.28382014,74.2854542,3
Karnataka,Mysore,2021,October,Sunday,02:31,Serious,1,Two-Wheeler,7,2,Stormy,Village Road,Under Construction,Dark,Signs,67,58,Male,Valid,Yes,Straight Road,33.63705684,70.77572211,2
Telangana,Unknown,2019,July,Friday,21:14,Minor,1,Truck,10,1,Rainy,Urban Road,Wet,Dark,Police Checkpost,72,49,Female,Valid,Yes,Intersection,11.97098399,68.685519,9
Rajasthan,Jodhpur,2021,March,Monday,15:23,Fatal,2,Cycle,10,0,Foggy,Urban Road,Damaged,Dusk,Police Checkpost,114,39,Male,Valid,Yes,Intersection,33.01786588,86.61717351,8
Arunachal Pradesh,Unknown,2018,September,Tuesday,15:01,Fatal,5,Bus,0,1,Stormy,Urban Road,Wet,Dusk,Police Checkpost,37,24,Female,None,Yes,Straight Road,21.28713991,85.60572705,8
Meghalaya,Unknown,2018,December,Wednesday,16:28,Serious,1,Car,3,0,Clear,Village Road,Dry,Daylight,Signals,73,67,Female,Expired,Yes,Intersection,14.97259848,83.85422497,8
Himachal Pradesh,Unknown,2020,July,Monday,13:46,Serious,3,Bus,10,1,Stormy,Urban Road,Dry,Dusk,Signals,100,56,Female,None,Yes,Bridge,20.39666542,74.72646579,3
Jammu and Kashmir,Unknown,2023,April,Sunday,18:27,Fatal,1,Bus,3,1,Clear,National Highway,Under Construction,Dawn,None,32,62,Male,Expired,Yes,Bridge,34.46087953,79.33627388,8
Chhattisgarh,Unknown,2020,January,Saturday,03:52,Minor,5,Pedestrian,5,4,Hazy,State Highway,Under Construction,Dark,Police Checkpost,38,70,Male,None,No,Bridge,21.30068854,85.23981372,6
Delhi,Dwarka,2022,January,Wednesday,22:53,Minor,1,Truck,10,5,Hazy,Village Road,Dry,Dusk,None,104,35,Male,Expired,No,Straight Road,16.87629348,82.40623891,9
Puducherry,Unknown,2019,April,Sunday,10:56,Serious,4,Bus,6,2,Clear,State Highway,Wet,Dark,Police Checkpost,96,36,Male,None,No,Curve,25.10182307,96.64578009,2
Delhi,Dwarka,2019,November,Friday,00:37,Serious,5,Auto-Rickshaw,6,1,Stormy,National Highway,Under Construction,Daylight,Signs,91,54,Female,Valid,Yes,Straight Road,14.48393171,71.95675282,9
Jharkhand,Unknown,2020,December,Tuesday,14:03,Serious,3,Car,3,3,Rainy,State Highway,Under Construction,Daylight,Signs,63,27,Male,Valid,Yes,Intersection,10.04830986,88.15919207,7
Delhi,New Delhi,2019,June,Wednesday,15:46,Minor,3,Bus,2,5,Rainy,State Highway,Dry,Dusk,Signals,118,21,Female,Valid,Yes,Curve,11.47975249,79.72524428,7
Andhra Pradesh,Visakhapatnam,2019,October,Thursday,20:34,Minor,3,Car,3,5,Stormy,Urban Road,Under Construction,Daylight,Police Checkpost,55,24,Female,Valid,Yes,Bridge,11.45723765,80.41778883,6
Punjab,Unknown,2020,September,Wednesday,00:37,Fatal,3,Bus,0,5,Rainy,Urban Road,Damaged,Dark,Police Checkpost,90,37,Female,Expired,No,Curve,12.10137272,88.8103352,7
Sikkim,Unknown,2020,January,Thursday,21:32,Serious,3,Auto-Rickshaw,5,1,Foggy,Urban Road,Wet,Dawn,Signals,75,52,Male,None,Yes,Straight Road,11.74833366,88.08064839,2
Rajasthan,Udaipur,2018,January,Monday,19:53,Fatal,3,Two-Wheeler,5,3,Clear,Village Road,Dry,Daylight,None,95,24,Male,Valid,Yes,Straight Road,25.30361811,96.74642382,1
Uttar Pradesh,Varanasi,2022,December,Monday,12:29,Minor,2,Truck,10,4,Hazy,Village Road,Wet,Dusk,Police Checkpost,117,51,Female,None,Yes,Straight Road,12.91076228,71.72343439,6
Chhattisgarh,Unknown,2019,December,Wednesday,01:03,Serious,4,Auto-Rickshaw,1,0,Stormy,National Highway,Wet,Dark,Police Checkpost,77,37,Male,None,No,Straight Road,17.33301665,71.01917983,7
Uttar Pradesh,Varanasi,2021,October,Saturday,03:39,Fatal,3,Pedestrian,8,0,Stormy,National Highway,Dry,Dawn,Signs,75,49,Female,None,Yes,Curve,32.21328707,89.0058257,9
Telangana,Unknown,2019,April,Saturday,00:14,Minor,4,Cycle,8,1,Stormy,Urban Road,Damaged,Dusk,Police Checkpost,95,26,Female,Valid,No,Intersection,20.79696429,84.77322059,6
Mizoram,Unknown,2019,September,Saturday,10:10,Serious,4,Auto-Rickshaw,4,1,Hazy,Urban Road,Under Construction,Dark,None,57,52,Male,Expired,No,Intersection,26.02405894,75.95065933,7
Jharkhand,Unknown,2020,July,Wednesday,16:37,Serious,1,Cycle,0,0,Clear,Urban Road,Wet,Dawn,Signals,87,45,Male,None,No,Intersection,12.65263652,70.3031617,1
Karnataka,Bangalore,2022,February,Wednesday,00:25,Minor,1,Cycle,0,5,Rainy,National Highway,Under Construction,Dusk,None,72,38,Female,Expired,Yes,Straight Road,13.19180351,70.48408924,9
Meghalaya,Unknown,2021,February,Wednesday,04:22,Fatal,5,Truck,7,2,Hazy,Village Road,Wet,Dark,Signs,70,63,Female,Valid,No,Straight Road,9.103452639,93.93153537,1
Chandigarh,Unknown,2019,November,Thursday,10:51,Minor,2,Cycle,4,4,Foggy,Urban Road,Damaged,Dusk,None,39,44,Male,None,Yes,Straight Road,12.5612467,73.56415242,3
Uttarakhand,Unknown,2022,July,Monday,13:15,Fatal,2,Truck,8,2,Hazy,Village Road,Dry,Dusk,Signals,98,54,Female,Expired,Yes,Intersection,15.52193915,77.3777753,9
Tripura,Unknown,2020,October,Thursday,03:11,Minor,1,Truck,2,5,Hazy,Village Road,Under Construction,Daylight,Signs,119,64,Female,None,No,Intersection,12.77928308,74.57303566,2
Sikkim,Unknown,2019,November,Thursday,08:01,Serious,3,Auto-Rickshaw,4,5,Foggy,Village Road,Damaged,Daylight,Signals,68,64,Male,Valid,Yes,Intersection,10.39496841,78.29489287,1
Odisha,Unknown,2023,August,Thursday,08:19,Fatal,2,Two-Wheeler,8,1,Foggy,Village Road,Damaged,Daylight,None,112,59,Male,Expired,Yes,Curve,11.25716852,70.01329144,2
Odisha,Unknown,2020,November,Wednesday,05:40,Minor,2,Car,2,5,Clear,Urban Road,Under Construction,Dark,Police Checkpost,77,21,Female,None,No,Intersection,20.44102674,83.05273394,9
Haryana,Unknown,2020,April,Sunday,13:29,Serious,3,Cycle,6,5,Rainy,Urban Road,Dry,Dusk,Signals,36,56,Female,None,Yes,Intersection,13.5710104,69.96076434,5
Jharkhand,Unknown,2019,May,Monday,22:18,Minor,5,Pedestrian,2,5,Hazy,National Highway,Under Construction,Dark,Signals,80,32,Female,None,Yes,Bridge,17.83528625,91.21033873,9
Goa,Unknown,2019,July,Thursday,10:00,Minor,3,Two-Wheeler,5,4,Rainy,Village Road,Damaged,Dusk,Police Checkpost,80,58,Male,None,No,Intersection,21.59226631,74.77765038,1
Rajasthan,Udaipur,2019,March,Saturday,15:53,Minor,1,Cycle,2,0,Hazy,Village Road,Dry,Dawn,Signals,53,24,Male,Valid,No,Bridge,26.64066037,83.66034552,5
Rajasthan,Udaipur,2020,October,Tuesday,21:01,Minor,3,Auto-Rickshaw,4,1,Foggy,National Highway,Under Construction,Dark,None,31,18,Female,Valid,No,Straight Road,9.061427776,93.52229354,1
Manipur,Unknown,2021,April,Thursday,05:32,Fatal,2,Car,3,0,Rainy,Urban Road,Dry,Daylight,Signals,74,35,Female,Expired,No,Intersection,29.58408077,86.8754437,9
Rajasthan,Udaipur,2021,July,Sunday,09:58,Minor,1,Two-Wheeler,8,5,Clear,Village Road,Wet,Dawn,None,107,23,Male,Valid,No,Curve,24.95331052,83.45577581,5
Puducherry,Unknown,2018,January,Thursday,21:50,Fatal,3,Auto-Rickshaw,5,3,Clear,National Highway,Under Construction,Dusk,Police Checkpost,95,21,Female,Expired,Yes,Curve,10.20749386,77.40567884,2
Andhra Pradesh,Visakhapatnam,2019,December,Wednesday,13:08,Fatal,1,Truck,3,1,Stormy,Village Road,Damaged,Dusk,None,81,58,Male,Valid,Yes,Straight Road,31.58662285,77.65705548,9
Chandigarh,Unknown,2019,November,Sunday,19:43,Serious,1,Car,10,3,Foggy,State Highway,Dry,Dusk,Signals,56,64,Female,None,Yes,Bridge,32.86355481,87.4151217,6
Punjab,Unknown,2020,February,Saturday,13:28,Fatal,2,Two-Wheeler,7,4,Rainy,Village Road,Dry,Daylight,Signals,62,54,Male,Valid,No,Straight Road,9.649104916,96.83004148,3
Kerala,Unknown,2022,July,Thursday,07:31,Fatal,1,Cycle,5,1,Rainy,Village Road,Dry,Dusk,Signals,43,70,Female,Expired,Yes,Curve,15.4756965,87.19333651,1
Tripura,Unknown,2022,September,Wednesday,12:07,Minor,1,Truck,0,2,Stormy,Urban Road,Damaged,Daylight,Police Checkpost,117,57,Male,Expired,Yes,Curve,29.76743455,84.1757191,8
Delhi,New Delhi,2022,March,Tuesday,23:47,Minor,4,Pedestrian,2,0,Stormy,Urban Road,Dry,Dusk,None,45,66,Male,Expired,Yes,Straight Road,28.20301164,89.1888648,6
Chhattisgarh,Unknown,2021,February,Sunday,09:52,Fatal,2,Cycle,3,3,Rainy,National Highway,Wet,Dark,Signs,119,69,Female,Expired,No,Straight Road,12.98206752,81.49096276,9
Kerala,Unknown,2023,September,Friday,20:48,Fatal,5,Truck,1,0,Hazy,State Highway,Wet,Daylight,Police Checkpost,34,38,Female,Valid,Yes,Straight Road,13.65243173,69.74412794,4
Maharashtra,Mumbai,2018,June,Saturday,21:29,Fatal,2,Cycle,8,5,Hazy,State Highway,Wet,Dark,Police Checkpost,85,41,Male,Valid,No,Bridge,18.00274678,84.30660766,8
Tripura,Unknown,2022,June,Sunday,08:53,Fatal,2,Two-Wheeler,3,5,Hazy,State Highway,Wet,Dawn,Signals,111,65,Male,Valid,Yes,Bridge,21.0821206,95.77113325,3
Andhra Pradesh,Tirupati,2020,March,Sunday,06:45,Serious,4,Truck,5,2,Hazy,National Highway,Wet,Daylight,Signals,88,21,Male,Expired,No,Straight Road,24.69287883,73.08378533,9
Nagaland,Unknown,2023,December,Monday,10:23,Fatal,3,Pedestrian,7,5,Foggy,Urban Road,Under Construction,Dawn,Police Checkpost,89,64,Male,Valid,No,Intersection,17.96066827,88.01014183,6
Arunachal Pradesh,Unknown,2018,May,Monday,09:09,Fatal,1,Two-Wheeler,5,2,Clear,National Highway,Under Construction,Dusk,Police Checkpost,37,31,Male,Valid,Yes,Straight Road,20.48843734,73.82707697,5
Goa,Unknown,2021,April,Friday,12:01,Fatal,5,Truck,1,3,Rainy,State Highway,Wet,Dusk,Police Checkpost,84,51,Male,None,Yes,Curve,28.18171533,83.53900285,4
Rajasthan,Jodhpur,2018,September,Thursday,00:09,Minor,1,Two-Wheeler,2,2,Rainy,State Highway,Under Construction,Dusk,Signals,46,60,Male,Valid,Yes,Intersection,8.990446478,70.80361704,4
Meghalaya,Unknown,2019,April,Wednesday,19:54,Minor,4,Bus,1,5,Rainy,State Highway,Damaged,Dusk,Signs,92,63,Female,Valid,No,Curve,14.8157975,81.06075715,2
Jammu and Kashmir,Unknown,2022,August,Thursday,17:38,Minor,5,Cycle,1,5,Foggy,National Highway,Dry,Dusk,Signals,48,66,Male,None,No,Curve,27.26043882,89.92873654,3
Gujarat,Vadodara,2019,November,Friday,13:48,Minor,4,Car,7,4,Foggy,Village Road,Wet,Dawn,Police Checkpost,90,37,Male,None,No,Curve,32.17058462,78.0795742,9
West Bengal,Siliguri,2020,November,Monday,10:08,Fatal,2,Pedestrian,4,3,Hazy,Urban Road,Dry,Daylight,Signs,94,39,Male,None,No,Curve,21.81529094,87.28244001,6
Meghalaya,Unknown,2019,May,Tuesday,05:37,Serious,4,Bus,6,5,Foggy,National Highway,Damaged,Daylight,Police Checkpost,42,29,Male,None,Yes,Intersection,22.3670641,91.06804886,4
Nagaland,Unknown,2021,September,Friday,16:00,Fatal,5,Two-Wheeler,9,5,Stormy,National Highway,Wet,Daylight,Police Checkpost,41,68,Male,Valid,Yes,Intersection,10.89364431,94.88815676,2
Jharkhand,Unknown,2019,June,Saturday,10:41,Fatal,4,Pedestrian,5,5,Hazy,Village Road,Dry,Dusk,Signs,72,47,Female,Valid,No,Curve,20.0801339,74.80462037,3
Jharkhand,Unknown,2018,February,Wednesday,21:18,Minor,3,Pedestrian,1,1,Stormy,National Highway,Wet,Dawn,Signals,109,58,Male,Expired,Yes,Straight Road,22.38066619,79.58016156,4
Nagaland,Unknown,2020,September,Friday,12:50,Fatal,1,Two-Wheeler,4,0,Clear,National Highway,Dry,Dawn,Signs,44,43,Female,Valid,Yes,Straight Road,14.5467036,72.42006439,8
Puducherry,Unknown,2023,September,Friday,02:05,Minor,4,Pedestrian,5,2,Foggy,Village Road,Wet,Dawn,Police Checkpost,30,38,Male,Expired,No,Intersection,15.26956724,96.78202156,8
Jammu and Kashmir,Unknown,2022,December,Saturday,11:40,Fatal,4,Pedestrian,7,5,Clear,Village Road,Damaged,Dark,Police Checkpost,106,21,Male,None,No,Bridge,18.1866724,94.88302807,5
Delhi,New Delhi,2023,July,Tuesday,09:22,Fatal,4,Cycle,4,1,Foggy,State Highway,Wet,Daylight,Signs,100,33,Male,Expired,Yes,Straight Road,8.54192234,83.65875678,4
Sikkim,Unknown,2020,October,Wednesday,11:59,Fatal,2,Truck,8,5,Foggy,State Highway,Dry,Daylight,Signals,32,26,Male,Valid,No,Bridge,16.69613747,92.41896554,5
Kerala,Unknown,2022,October,Sunday,10:57,Minor,3,Cycle,2,2,Foggy,Urban Road,Under Construction,Dark,Signals,69,34,Female,Valid,Yes,Straight Road,13.70909619,83.10778134,2
Puducherry,Unknown,2018,June,Friday,00:02,Serious,4,Two-Wheeler,8,4,Stormy,Village Road,Under Construction,Dark,None,39,45,Male,None,No,Straight Road,16.84242851,86.08398495,3
Telangana,Unknown,2018,October,Monday,10:13,Fatal,1,Two-Wheeler,1,3,Rainy,State Highway,Damaged,Dusk,Police Checkpost,84,70,Male,Valid,Yes,Bridge,11.23357756,70.58460853,5
Assam,Unknown,2023,March,Saturday,02:18,Minor,5,Car,7,4,Rainy,State Highway,Under Construction,Dark,Signs,57,55,Male,None,No,Straight Road,32.04423658,89.90284219,7
Manipur,Unknown,2023,December,Monday,08:06,Minor,4,Cycle,9,5,Foggy,State Highway,Wet,Dark,Signals,86,66,Female,Valid,Yes,Straight Road,24.02699625,71.70369103,7
Puducherry,Unknown,2021,September,Wednesday,21:07,Fatal,3,Cycle,3,1,Foggy,Urban Road,Damaged,Dawn,None,72,51,Female,None,Yes,Curve,26.33576262,91.95596128,8
West Bengal,Durgapur,2021,December,Friday,07:28,Fatal,5,Truck,6,1,Stormy,State Highway,Wet,Dark,Police Checkpost,45,25,Female,None,No,Straight Road,29.30762344,90.67881454,7
Puducherry,Unknown,2020,January,Monday,10:22,Fatal,4,Cycle,5,4,Foggy,State Highway,Damaged,Daylight,None,70,66,Male,Valid,Yes,Intersection,21.45793937,88.55359623,4
Arunachal Pradesh,Unknown,2020,March,Wednesday,17:30,Fatal,1,Auto-Rickshaw,8,4,Hazy,Village Road,Damaged,Dark,Police Checkpost,55,58,Male,Valid,No,Bridge,10.34684778,69.04865104,7
Haryana,Unknown,2019,November,Saturday,23:41,Serious,2,Auto-Rickshaw,7,5,Clear,State Highway,Wet,Dawn,Signs,47,51,Male,Valid,Yes,Intersection,22.50187663,76.79072232,6
Uttarakhand,Unknown,2019,June,Monday,02:45,Serious,4,Two-Wheeler,8,0,Rainy,State Highway,Damaged,Daylight,Police Checkpost,76,65,Female,None,Yes,Curve,23.84471019,75.63026453,2
Tripura,Unknown,2019,September,Sunday,18:10,Fatal,3,Car,10,2,Stormy,State Highway,Under Construction,Daylight,Signals,115,42,Male,Expired,Yes,Curve,28.1268658,78.44395582,6
Madhya Pradesh,Unknown,2020,December,Tuesday,12:44,Fatal,4,Cycle,3,5,Foggy,State Highway,Wet,Dark,None,34,24,Female,Expired,No,Bridge,19.65480775,70.54163966,6
Madhya Pradesh,Unknown,2022,June,Wednesday,15:53,Fatal,5,Two-Wheeler,3,1,Clear,Village Road,Damaged,Dark,Signals,92,18,Female,Expired,Yes,Straight Road,11.44466818,95.17177687,2
Nagaland,Unknown,2023,July,Saturday,02:34,Minor,4,Car,8,0,Rainy,Urban Road,Dry,Dawn,Police Checkpost,78,42,Male,Valid,Yes,Intersection,15.66194946,84.06026498,7
Puducherry,Unknown,2020,April,Saturday,00:40,Fatal,3,Two-Wheeler,6,2,Hazy,Village Road,Under Construction,Daylight,None,82,27,Female,None,No,Bridge,17.803222,76.86020501,1
Madhya Pradesh,Unknown,2018,April,Monday,01:57,Minor,1,Auto-Rickshaw,8,1,Hazy,Village Road,Under Construction,Dawn,None,97,45,Female,Expired,Yes,Intersection,25.43976552,79.512464,2
Telangana,Unknown,2021,October,Saturday,06:59,Minor,4,Truck,2,3,Rainy,Urban Road,Wet,Dawn,Signals,60,46,Male,Expired,No,Bridge,23.41101423,80.96887367,7
Sikkim,Unknown,2023,April,Sunday,23:32,Serious,3,Car,9,4,Hazy,State Highway,Under Construction,Dawn,Signals,118,27,Female,Valid,Yes,Bridge,17.6146116,85.41723567,3
Mizoram,Unknown,2022,April,Wednesday,12:57,Fatal,1,Auto-Rickshaw,2,0,Clear,State Highway,Damaged,Dawn,Signals,54,19,Female,Expired,No,Curve,34.63591172,82.9547034,2
Maharashtra,Pune,2018,July,Saturday,08:57,Minor,3,Car,10,4,Stormy,National Highway,Damaged,Dawn,Signals,42,54,Female,Expired,No,Bridge,24.35592012,94.66236722,2
Nagaland,Unknown,2022,September,Tuesday,22:21,Fatal,2,Truck,1,0,Clear,National Highway,Under Construction,Dusk,Police Checkpost,109,65,Male,Valid,Yes,Curve,14.40512338,82.411941,1
Chandigarh,Unknown,2018,June,Tuesday,11:30,Fatal,5,Cycle,3,2,Rainy,Urban Road,Damaged,Dawn,Police Checkpost,32,46,Female,Valid,Yes,Curve,10.74812676,96.77258243,5
Telangana,Unknown,2021,April,Thursday,05:49,Serious,4,Pedestrian,1,5,Foggy,State Highway,Dry,Daylight,Police Checkpost,77,52,Male,None,No,Bridge,12.12719676,92.69132377,7
Tripura,Unknown,2023,December,Monday,22:35,Serious,1,Bus,2,1,Clear,State Highway,Under Construction,Dark,None,80,39,Male,None,Yes,Bridge,14.64085867,74.04680492,3
Chandigarh,Unknown,2020,August,Thursday,00:11,Minor,5,Truck,4,4,Rainy,Urban Road,Under Construction,Dawn,None,116,67,Male,None,Yes,Bridge,12.33839708,94.98726122,5
Chhattisgarh,Unknown,2019,May,Friday,07:19,Minor,5,Truck,4,4,Rainy,Urban Road,Under Construction,Dusk,None,35,58,Female,Valid,Yes,Intersection,13.03730965,71.37462554,2
Punjab,Unknown,2019,November,Wednesday,09:56,Serious,5,Cycle,6,0,Foggy,State Highway,Under Construction,Dusk,Signs,97,45,Male,Valid,Yes,Intersection,15.69756955,91.70604155,6
Madhya Pradesh,Unknown,2019,November,Thursday,10:00,Minor,1,Auto-Rickshaw,8,5,Hazy,Village Road,Dry,Dark,Police Checkpost,100,69,Female,Expired,Yes,Curve,12.68108707,79.03807551,3
Puducherry,Unknown,2018,July,Tuesday,13:41,Minor,5,Car,1,1,Stormy,Village Road,Damaged,Dawn,Police Checkpost,49,35,Female,None,No,Curve,32.21266646,93.46125529,9
Gujarat,Surat,2022,July,Sunday,02:41,Minor,3,Auto-Rickshaw,1,0,Hazy,Urban Road,Wet,Daylight,None,46,62,Female,Valid,No,Bridge,10.16631113,93.17364401,6
West Bengal,Siliguri,2018,December,Sunday,19:34,Minor,5,Auto-Rickshaw,5,0,Hazy,Urban Road,Dry,Dark,None,106,24,Male,Expired,Yes,Bridge,22.16180752,91.3718366,5
Telangana,Unknown,2021,March,Saturday,10:31,Fatal,1,Pedestrian,1,0,Foggy,Village Road,Damaged,Dusk,Signals,41,52,Male,None,No,Bridge,19.08071433,90.91088265,4
Bihar,Unknown,2023,November,Monday,14:02,Fatal,3,Cycle,3,2,Stormy,National Highway,Dry,Dark,Signs,104,45,Male,Valid,No,Straight Road,34.52422266,76.83569503,2
Sikkim,Unknown,2020,March,Sunday,06:42,Minor,5,Two-Wheeler,4,2,Clear,Village Road,Dry,Dusk,Police Checkpost,50,45,Female,Valid,Yes,Bridge,11.02505036,70.34665921,2
Rajasthan,Udaipur,2022,April,Friday,22:03,Serious,4,Car,7,5,Foggy,State Highway,Under Construction,Dark,None,37,38,Male,Valid,Yes,Straight Road,18.74210117,79.68642518,1
Nagaland,Unknown,2018,May,Saturday,02:24,Fatal,1,Auto-Rickshaw,7,4,Clear,Urban Road,Under Construction,Daylight,Police Checkpost,88,40,Female,Expired,No,Curve,34.1757017,73.03221093,4
Arunachal Pradesh,Unknown,2019,October,Tuesday,19:51,Minor,4,Car,3,3,Clear,State Highway,Damaged,Daylight,None,90,62,Male,Valid,Yes,Straight Road,31.3686924,88.15358158,2
Kerala,Unknown,2020,October,Saturday,00:47,Fatal,1,Cycle,2,5,Stormy,Village Road,Wet,Daylight,Signals,108,40,Male,None,No,Bridge,30.06094592,78.03689207,2
Tripura,Unknown,2023,January,Sunday,09:09,Minor,1,Cycle,9,2,Hazy,National Highway,Wet,Dusk,Signals,79,63,Male,Expired,Yes,Straight Road,14.96337633,96.29269582,1
Telangana,Unknown,2022,May,Thursday,04:55,Minor,5,Two-Wheeler,7,0,Clear,Village Road,Damaged,Dark,Signs,64,22,Male,Valid,Yes,Bridge,12.61396486,86.58819024,2
Sikkim,Unknown,2021,November,Thursday,00:26,Minor,5,Auto-Rickshaw,3,2,Clear,Urban Road,Damaged,Daylight,Police Checkpost,96,57,Female,Valid,Yes,Straight Road,26.05336694,91.85193635,4
Haryana,Unknown,2023,July,Friday,17:35,Minor,5,Two-Wheeler,3,1,Rainy,Village Road,Wet,Dawn,Signs,45,29,Male,Expired,No,Intersection,33.09315171,71.84321551,2
Gujarat,Vadodara,2021,March,Sunday,19:43,Serious,2,Cycle,6,4,Rainy,National Highway,Under Construction,Daylight,Signals,52,44,Female,Valid,Yes,Straight Road,23.03259811,92.99841999,7
Sikkim,Unknown,2022,October,Sunday,03:01,Fatal,2,Car,10,4,Stormy,Urban Road,Damaged,Daylight,Police Checkpost,107,46,Female,Expired,No,Intersection,23.43354262,94.75995852,6
Nagaland,Unknown,2018,October,Saturday,14:07,Fatal,5,Truck,10,5,Rainy,Urban Road,Wet,Dark,Police Checkpost,62,25,Male,Valid,Yes,Intersection,15.55943553,82.12479565,7
Gujarat,Vadodara,2021,October,Tuesday,02:46,Serious,1,Auto-Rickshaw,5,4,Foggy,Village Road,Damaged,Dark,None,33,66,Male,Valid,No,Curve,28.7763092,85.58133519,6
Haryana,Unknown,2023,September,Thursday,16:51,Fatal,1,Truck,8,0,Stormy,National Highway,Under Construction,Dawn,Police Checkpost,96,40,Female,Valid,No,Straight Road,13.05018121,90.17948423,3
Maharashtra,Nagpur,2023,March,Tuesday,11:29,Fatal,2,Bus,4,3,Stormy,State Highway,Under Construction,Daylight,Signs,30,22,Male,Expired,Yes,Curve,16.73933938,73.07032019,7
Sikkim,Unknown,2021,November,Monday,05:22,Serious,2,Pedestrian,9,2,Hazy,National Highway,Wet,Dark,Signs,63,57,Female,Valid,Yes,Bridge,19.48678384,82.57441622,6
Madhya Pradesh,Unknown,2018,November,Tuesday,07:47,Serious,3,Truck,5,3,Clear,Village Road,Dry,Dark,Signs,109,52,Female,None,No,Intersection,21.70548022,79.56122781,6
Kerala,Unknown,2019,November,Friday,15:44,Minor,3,Cycle,5,0,Hazy,State Highway,Damaged,Dawn,Signals,47,55,Male,Expired,No,Bridge,14.54506278,72.24484577,3
West Bengal,Siliguri,2021,April,Friday,04:04,Serious,2,Two-Wheeler,2,2,Clear,Urban Road,Dry,Dark,None,36,26,Male,Expired,No,Curve,11.10059427,78.65849825,1
Karnataka,Mangalore,2019,September,Thursday,16:40,Minor,5,Pedestrian,8,4,Clear,Village Road,Wet,Dark,Signs,117,37,Male,None,Yes,Straight Road,24.48674115,69.97699697,4
Nagaland,Unknown,2019,September,Sunday,10:32,Serious,2,Pedestrian,3,4,Hazy,Village Road,Under Construction,Dawn,Police Checkpost,86,48,Male,Valid,No,Straight Road,15.79302494,68.7485453,9
Jammu and Kashmir,Unknown,2020,December,Sunday,22:39,Serious,3,Bus,0,5,Hazy,National Highway,Under Construction,Dark,None,51,34,Male,Expired,Yes,Bridge,23.69343198,71.91982239,7
Mizoram,Unknown,2021,August,Sunday,21:33,Minor,1,Cycle,3,0,Rainy,State Highway,Damaged,Dusk,Signals,86,70,Male,Expired,No,Curve,12.16779331,95.93033824,1
Rajasthan,Udaipur,2021,June,Wednesday,08:32,Fatal,4,Two-Wheeler,2,2,Clear,Urban Road,Damaged,Dawn,None,105,64,Male,Valid,Yes,Curve,20.99078275,83.93635654,2
Haryana,Unknown,2020,September,Friday,06:33,Minor,4,Auto-Rickshaw,6,1,Clear,Village Road,Wet,Daylight,Signals,56,43,Male,Expired,Yes,Intersection,22.37991468,96.00884267,3
West Bengal,Kolkata,2022,January,Wednesday,01:43,Minor,1,Truck,8,5,Foggy,Village Road,Wet,Dusk,Signals,95,41,Female,None,No,Bridge,9.399235494,80.54243847,5
Assam,Unknown,2021,October,Saturday,06:52,Fatal,1,Truck,2,5,Hazy,Urban Road,Damaged,Dusk,Signs,37,42,Female,None,Yes,Bridge,17.08831551,77.04266786,3
Uttar Pradesh,Kanpur,2020,March,Friday,12:31,Minor,5,Cycle,0,2,Foggy,Village Road,Damaged,Dusk,Signals,108,33,Male,Expired,Yes,Straight Road,11.62919628,82.67811402,4
Bihar,Unknown,2018,April,Thursday,20:43,Minor,5,Auto-Rickshaw,6,5,Clear,State Highway,Wet,Dark,Police Checkpost,55,47,Female,Valid,Yes,Intersection,9.711124203,80.74583897,9
Mizoram,Unknown,2023,October,Saturday,17:58,Minor,3,Car,7,1,Foggy,State Highway,Wet,Dusk,None,117,28,Male,None,No,Intersection,34.72892627,71.06427584,7
Himachal Pradesh,Unknown,2018,November,Sunday,07:05,Minor,3,Truck,7,0,Rainy,State Highway,Wet,Dusk,Signals,109,30,Male,None,No,Straight Road,16.70355381,86.58396313,6
Tamil Nadu,Madurai,2021,May,Wednesday,21:47,Minor,4,Bus,4,1,Clear,National Highway,Damaged,Dawn,Signals,40,70,Female,Expired,No,Intersection,29.86661004,74.26510729,8
Goa,Unknown,2022,October,Tuesday,20:31,Fatal,5,Truck,6,0,Rainy,State Highway,Under Construction,Daylight,Signals,94,44,Female,None,Yes,Intersection,14.87529768,85.96805069,5
Goa,Unknown,2020,November,Wednesday,17:25,Minor,1,Two-Wheeler,7,3,Stormy,State Highway,Under Construction,Dusk,Police Checkpost,55,36,Female,Valid,No,Intersection,26.4005735,86.85583168,5
Puducherry,Unknown,2023,September,Thursday,05:38,Serious,1,Auto-Rickshaw,6,0,Rainy,State Highway,Damaged,Daylight,Signals,52,33,Male,Expired,Yes,Intersection,28.52615222,72.40872074,3
